class,requirement,RequirementText
PE,The system shall refresh the display every 60 seconds.,system shall refresh display every second
LF,The application shall match the color of the schema set forth by Department of Homeland Security,application shall match color schema set forth department homeland security
US, If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,projected data must readable x projection screen viewer must able read event activity data viewing distance
A, The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,product shall available normal business hour long user access client pc system available time first six month operation
US, If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,projected data must understandable x projection screen viewer must able determine event activity occuring current time viewing distance
SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt
US,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,product shall intuitive self explanatory new user shall able start display event activity within minute using product
PE,The product shall respond fast to keep up-to-date data in the display.,product shall respond fast keep date data display
F,The system shall have a MDI form that allows for the viewing of the graph and the data table.,system shall mdi form allows viewing graph data table
F,The system shall display Events in a vertical table by time.,system shall display event vertical table time
F,The system shall display the Events in a graph by time.,system shall display event graph time
L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,business rule specified dispute system shall compliance guideline regulation e regulation z
L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,dispute application must maintain detailed history every action user take dispute case ensures complete audit trail question arise later regard particular dispute case
L,All actions that modify an existing dispute case must be recorded in the case history.,action modify existing dispute case must recorded case history
F,The Disputes System must be accessible by both internal and external users.,dispute system must accessible internal external user
F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,dispute system must prevent user accessing dispute case belong cardholder base
F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,dispute system facilitate direct data entry dispute case via user interface support real time response user
F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,dispute system must provide different level access regard dispute case initiation follow action
F,The Disputes System shall provide view access capability for authorized users of the application.,dispute system shall provide view access capability authorized user application
F,The Disputes System shall provide update access capability for authorized users of the application.,dispute system shall provide update access capability authorized user application
F,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,dispute system must allow user select disputable transaction based age transaction user interface initiate dispute ticket retrieval request chargeback notification selected transaction
F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,dispute system must provide user ability initiate single dispute case multiple transaction belong single merchant
F,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,dispute system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document sent merchant inquiring validity transaction
